npi,product,status,since_date,source
1114144375,DiLumen EZ,active,2025-03-15,demo-seed
1306041801,,prospect,,demo-seed
1073929733,DiLumen EZ,active,2024-11-01,demo-seed
1134149321,DiLumen,active,2025-01-20,poc-curated
1164508453,DiLumen EZ,active,2024-09-12,poc-curated
1215161328,DiLumen C1,trial,2026-04-05,poc-curated
1265725105,,prospect,,poc-curated
1306287560,DiLumen EUS,active,2025-06-18,poc-curated
1336377043,,prospect,,poc-curated
1336401082,DiLumen,trial,2026-05-01,poc-curated
1366491367,DiLumen EZ,active,2025-02-28,poc-curated
1417261199,DiLumen C1,active,2024-12-10,poc-curated
