npi,email,mobile,linkedin_url,confidence_score,last_verified,last_refresh,source
1114144375,,+1-605-555-0142,https://www.linkedin.com/in/aaron-baas-md,92,2026-05-12,2026-04-01,demo-seed
1306041801,,+1-605-555-0188,,78,2026-03-20,2026-04-01,demo-seed
1467418772,,,https://www.linkedin.com/in/dennis-leland-md,64,2026-01-08,2026-04-01,demo-seed
1134149321,atravis@cassregional.org,+1-816-555-0117,,88,2026-06-02,2026-06-01,poc-curated
1164508453,aaron.benson@endeavorhealth.org,+1-847-555-0163,,81,2026-05-28,2026-06-01,poc-curated
1215161328,ahouse@baptisthealth.com,+1-606-555-0124,,73,2026-04-15,2026-06-01,poc-curated
1265725105,aaron.chan@northmemorial.com,+1-218-555-0199,,69,2026-03-30,2026-06-01,poc-curated
1306287560,aaron.reiprich@upmc.com,+1-717-555-0151,,90,2026-06-10,2026-06-01,poc-curated
1336377043,aabdinoor@mercydesmoines.org,+1-515-555-0138,,66,2026-02-18,2026-06-01,poc-curated
1336401082,aaron.nilhas@ascension.org,+1-316-555-0172,,84,2026-05-20,2026-06-01,poc-curated
1366491367,aaron.burrows@gialliance.com,+1-303-555-0146,,77,2026-04-08,2026-06-01,poc-curated
1417261199,abdallah.kobeissy@utoledo.edu,+1-419-555-0185,,62,2026-01-25,2026-06-01,poc-curated
